assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,known_name,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,price_change_calibrating,price_change_hourly_rate,price_change_locked_until,price_change_percent,price_change_projections,recoveries,red_cards,region,removed,saves,saves_per_90,scout_news_link,scout_risks,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,tackles,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,2004-06-27,0,52,True,True,100,100,2,1.07,10,500040,None,,0,0,-2,2,2.0,313,113,10,5.36,None,,0,2,2.4,2.4,0,0.01,0.01,0.01,0.01,0.00,0.53,0.28,0.0,Cristhian,2.4,138,52,0,0.0,0,False,2.7,304,113,11,False,24.6,241,99,,168,,2026-09-04T14:00:08.080310Z,53,232,33,p500040,0,0,None,0,,500040.jpg,6.0,29,12,False,-199,None,-8.5,"[{'offset': 0, 'projected_percent': '-13.1', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-29.7', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-46.2', 'likelihood': -3}]",3,0,200,False,0,0.0,,[],Mosquera,1.7,139,56,False,None,2,1.07,a,0,1,3,2025-07-24,0.0,602,211,12,30370,205,460450,1721,0.5,2.3,Mosquera,0
0,2001-09-05,4,137,True,True,None,None,3,0.65,8,223340,2,,0,0,0,0,78.8,43,36,31,6.71,2,,0,3,6.4,6.4,2,0.76,0.16,3.96,0.85,3.20,3.61,0.78,0.69,Bukayo,6.4,12,3,4,0.87,3,False,42.2,2,2,12,True,139.8,8,6,,416,,None,95,4,3,p223340,0,0,1,0,,223340.jpg,6.4,23,11,False,-438,None,77.5,"[{'offset': 0, 'projected_percent': '75.9', 'likelihood': 3}, {'offset': 1, 'projected_percent': '69.9', 'likelihood': 3}, {'offset': 2, 'projected_percent': '63.9', 'likelihood': 3}]",17,0,241,False,0,0.0,,[],Saka,13.2,30,11,False,None,5,1.08,a,6,1,3,2018-11-28,204.0,1,1,32,699519,19897,355333,5482,0.7,3.4,Saka,0
2,1999-01-14,0,91,True,True,None,None,3,0.66,17,204480,1,,0,0,-1,1,90.3,33,29,41,8.98,1,,0,3,4.0,4.0,1,0.67,0.15,0.78,0.17,0.11,3.49,0.76,0.02,Declan,4.0,64,27,4,0.88,0,False,20.4,48,35,13,False,109.6,29,13,,411,,None,74,18,11,p204480,0,0,None,0,,204480.jpg,4.0,98,39,False,-1325,None,-26.2,"[{'offset': 0, 'projected_percent': '-30.4', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-45.6', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-60.8', 'likelihood': -3}]",17,0,241,False,0,0.0,,[],Rice,12.4,34,14,False,None,5,1.09,a,7,1,3,2023-07-15,4.0,293,143,20,113900,2054,648974,6300,0.5,2.7,Rice,1
0,1998-06-29,0,18,True,True,None,None,0,0.0,0,232413,None,,0,0,-2,2,3.8,289,149,5,5.29,3,,0,3,0.8,0.8,1,0.09,0.1,0.13,0.14,0.04,1.24,1.31,0.04,Eberechi,0.8,291,134,0,0.0,0,False,0.9,357,165,14,False,1.8,369,170,,85,,None,63,49,33,p232413,0,0,None,0,,232413.jpg,1.0,394,189,False,-167,None,-79.3,"[{'offset': 0, 'projected_percent': '-85.6', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-108.4', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-131.2', 'likelihood': -5}]",5,0,241,False,0,0.0,,[],Eze,1.0,174,56,False,None,0,0.0,a,0,1,3,2025-08-23,5.0,275,139,4,21253,334,133962,1118,0.1,0.6,Eze,0
0,1998-12-17,6,137,True,True,None,None,3,0.72,5,184029,None,,0,0,3,-3,160.7,4,4,23,5.49,4,,1,3,5.8,5.8,2,1.31,0.31,2.39,0.57,1.08,3.31,0.79,0.26,Martin,5.8,18,6,4,0.95,2,False,35.1,10,8,15,False,121.8,16,11,,377,,None,68,31,20,p184029,0,0,3,0,,184029.jpg,5.8,34,16,False,-3702,None,4.8,"[{'offset': 0, 'projected_percent': '-9.3', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-59.9', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-110.4', 'likelihood': -5}]",12,0,161,False,0,0.0,,[],Ødegaard,20.0,18,8,False,None,5,1.19,a,6,1,3,2021-08-20,68.0,52,33,29,1571476,15756,474065,14616,0.9,4.3,Ødegaard,0
0,2002-03-10,0,11,True,True,None,None,0,0.0,0,248857,5,,0,0,-3,3,43.9,113,73,3,11.74,None,,0,3,0.4,0.4,0,0.05,0.2,0.05,0.2,0.00,0.15,0.59,0.0,Noni,0.4,370,176,0,0.0,0,False,5.6,246,111,16,False,11.6,287,121,,23,,None,62,57,40,p248857,0,0,None,0,,248857.jpg,1.0,392,187,False,-32,None,-5.8,"[{'offset': 0, 'projected_percent': '-12.0', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-34.1', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-56.2', 'likelihood': -3}]",2,0,241,False,0,0.0,,[],Madueke,0.2,325,116,False,None,0,0.0,a,1,1,3,2025-07-18,0.0,653,291,2,5452,172,24675,255,0.1,0.3,Madueke,0
0,1996-06-22,0,19,True,True,None,None,0,0.0,1,195384,None,,0,0,-2,2,3.4,292,151,10,11.11,None,,0,3,0.8,0.8,1,0.14,0.16,0.28,0.32,0.14,0.87,0.97,0.16,Mikel,0.8,287,133,0,0.0,0,False,2.4,313,143,17,False,6.6,324,147,,81,,None,58,100,64,p195384,0,0,None,0,,195384.jpg,0.8,402,191,False,-71,None,-67.4,"[{'offset': 0, 'projected_percent': '-74.5', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-100.2', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-125.8', 'likelihood': -5}]",9,0,200,False,0,0.0,,[],Merino Zazón,0.4,270,91,False,None,0,0.0,a,0,1,3,2024-08-27,14.0,198,101,4,8862,125,45787,497,0.1,0.7,Merino,1
0,2001-06-18,0,0,False,True,0,0,0,0,0,444145,None,,0,0,-2,2,0.0,656,292,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Gabriel,0.0,656,292,0,0,0,False,0.0,655,292,18,False,0.0,655,292,Gabriel Martinelli,0,Has joined Al Hilal permanently,2026-09-04T12:34:46.738449Z,63,50,34,p444145,0,0,None,0,,444145.jpg,0.0,656,292,False,-7,None,0.0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",0,0,30,False,0,0,,[],Martinelli Silva,0.1,456,178,False,None,0,0,u,0,1,3,2019-07-15,0.0,654,292,0,2483,0,21426,125,0.0,0.0,Martinelli,0
0,1999-02-02,0,18,True,True,None,None,0,0.0,5,481655,None,,0,0,-2,2,4.2,282,147,13,13.15,None,,0,3,1.0,1.0,1,0.04,0.04,0.24,0.24,0.20,1.29,1.3,0.2,Martín,1.0,271,124,0,0.0,0,False,2.9,297,134,19,False,13.4,277,116,,89,,None,53,230,144,p481655,0,0,None,0,,481655.jpg,1.0,361,164,False,-106,None,-20.4,"[{'offset': 0, 'projected_percent': '-27.4', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-52.9', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-78.4', 'likelihood': -3}]",3,0,200,False,0,0.0,,[],Zubimendi Ibáñez,0.6,233,75,False,None,0,0.0,a,5,1,3,2025-07-06,11.0,216,109,5,8100,85,63631,688,0.2,0.9,Zubimendi,0
0,2009-12-31,0,5,True,True,None,None,0,0.0,0,616077,None,,0,0,-2,2,0.0,620,268,0,0.0,None,,0,3,0.2,0.2,1,0.08,0.8,0.08,0.8,0.00,0.27,2.7,0.0,Max,0.2,408,192,0,0.0,0,False,0.0,621,267,20,False,0.0,616,265,,9,,None,53,236,149,p616077,0,0,None,0,,616077.jpg,1.0,366,169,False,2,None,-17.5,"[{'offset': 0, 'projected_percent': '-16.3', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-12.0', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-7.8', 'likelihood': -1}]",0,0,241,False,0,0.0,,[],Dowman,0.1,469,184,False,None,0,0.0,a,0,1,3,2025-07-22,0.0,604,258,1,2687,99,6826,107,0.0,0.2,Dowman,0
0,2007-03-21,0,0,False,True,0,0,0,0,0,499175,None,,0,0,-1,1,0.0,629,274,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Ethan,0.0,632,274,0,0,0,False,0.0,630,273,22,False,0.0,626,272,,0,Has joined Borussia Dortmund on loan for the rest of the season,2026-09-02T16:01:07.058827Z,54,209,132,p499175,0,0,None,0,,499175.jpg,0.0,632,274,False,0,None,0.0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",0,0,241,False,0,0,,[],Nwaneri,0.0,627,268,False,None,0,0,u,0,1,3,2022-09-17,0.0,616,267,0,233,0,1210,10,0.0,0.0,Nwaneri,0
0,2000-05-30,0,0,False,True,0,0,0,0,0,438098,None,,0,0,0,0,0.0,641,279,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Fábio,0.0,641,279,0,0,0,False,0.0,639,278,23,False,0.0,635,277,Fábio Vieira,0,Has joined Hamburger SV permanently,2026-09-02T16:00:28.446370Z,55,144,88,p438098,0,0,None,0,,438098.jpg,0.0,641,279,False,0,None,0.0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",0,0,173,False,0,0,,[],Ferreira Vieira,0.0,629,270,False,None,0,0,u,0,1,3,2022-06-21,0.0,628,272,0,255,0,888,9,0.0,0.0,Fábio Vieira,0
0,1999-12-10,0,0,False,True,0,0,0,0,0,200641,None,,0,0,0,0,0.0,637,276,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Reiss,0.0,638,276,0,0,0,False,0.0,636,275,24,False,0.0,632,274,,0,has departed the club as a free agent.,2026-08-29T00:33:08.556767Z,55,132,80,p200641,0,0,None,0,,200641.jpg,0.0,638,276,False,0,None,0.0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",0,0,241,False,0,0,,[],Nelson,0.0,636,276,False,None,0,0,u,0,1,3,2017-07-12,0.0,624,269,0,68,0,659,5,0.0,0.0,Nelson,0
0,1998-06-04,0,6,True,True,None,None,0,0.0,0,224117,None,,0,0,-3,3,0.1,379,49,1,3.1,None,,0,4,0.4,0.4,1,0.23,0.71,0.23,0.71,0.00,0.56,1.74,0.0,Viktor,0.4,372,45,0,0.0,0,False,0.0,658,76,25,False,0.0,658,76,,29,,None,72,23,8,p224117,0,0,2,0,,224117.jpg,1.0,396,48,False,-316,None,-101.1,"[{'offset': 0, 'projected_percent': '-105.1', 'likelihood': -5}, {'offset': 1, 'projected_percent': '-119.3', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-133.6', 'likelihood': -5}]",1,0,206,False,0,0.0,,[],Gyökeres,3.1,101,15,False,None,0,0.0,a,0,1,3,2025-07-26,0.0,658,76,2,29337,1114,597369,3045,0.1,0.3,Gyökeres,0
0,1999-06-11,2,82,True,True,None,None,3,0.62,6,219847,None,,0,0,1,-1,66.0,57,3,13,2.68,None,,0,4,3.8,3.8,2,0.37,0.08,2.08,0.43,1.71,3.90,0.8,0.35,Kai,3.8,70,8,4,0.82,2,False,28.7,20,5,26,False,84.2,72,6,,437,,None,76,17,6,p219847,0,0,None,0,,219847.jpg,3.8,108,11,False,-420,None,12.2,"[{'offset': 0, 'projected_percent': '10.6', 'likelihood': 1}, {'offset': 1, 'projected_percent': '4.9', 'likelihood': 1}, {'offset': 2, 'projected_percent': '-1.0', 'likelihood': -1}]",7,0,80,False,0,0.0,,[],Havertz,8.5,45,7,False,None,5,1.03,a,0,1,3,2023-06-28,137.0,6,4,19,618310,15077,366611,6139,0.5,2.5,Havertz,1
0,1997-04-03,0,0,False,True,0,0,0,0,0,205651,None,,0,0,-1,1,0.0,647,76,0,0,None,,0,4,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Gabriel,0.0,647,76,0,0,0,False,0.0,646,75,27,False,0.0,643,72,Gabriel Jesus,0,Has joined FC Barcelona permanently,2026-09-02T16:00:28.475184Z,59,82,21,p205651,0,0,None,0,,205651.jpg,0.0,647,76,False,-17,None,0.0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",0,0,30,False,0,0,,[],Fernando de Jesus,0.2,367,56,False,None,0,0,u,0,1,3,2022-07-04,0.0,640,73,0,4164,0,28474,199,0.0,0.0,G.Jesus,0
0,1997-10-23,0,36,True,True,None,None,1,0.32,18,199798,None,,1,-1,1,-1,1.7,321,116,23,7.37,None,,0,2,2.4,2.4,1,0.02,0.01,0.20,0.07,0.18,3.49,1.12,0.06,Ezri,2.4,132,49,4,1.28,0,False,4.0,277,105,31,False,34.4,210,89,,281,,None,46,423,80,p199798,0,0,None,0,,199798.jpg,3.0,132,55,False,-455,None,0.4,"[{'offset': 0, 'projected_percent': '-0.3', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-3.6', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-7.0', 'likelihood': -1}]",9,0,241,False,0,0.0,,[],Konsa Ngoyo,19.4,19,5,False,None,3,0.96,a,5,1,3,2026-08-21,4.0,282,104,12,1406810,33503,597157,6049,0.5,2.6,Konsa,0
0,1997-11-16,1,45,True,True,100,100,0,0.0,3,208706,4,,0,0,-3,3,4.7,279,146,12,8.78,None,,0,3,1.8,1.8,1,0.16,0.12,0.25,0.19,0.09,2.26,1.65,0.07,Bruno,1.8,188,88,3,2.2,1,False,5.4,252,112,452,False,36.8,196,79,Bruno Guimarães,123,,2026-09-04T14:00:08.328779Z,67,32,21,p208706,0,0,4,0,,208706.jpg,3.0,153,66,False,-185,None,1.2,"[{'offset': 0, 'projected_percent': '0.5', 'likelihood': 1}, {'offset': 1, 'projected_percent': '-12.2', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-27.1', 'likelihood': -2}]",8,0,30,False,0,0.0,,[],Guimarães Rodriguez Moura,1.8,136,42,False,None,1,0.73,a,1,1,3,2026-08-08,13.0,204,104,9,25917,971,238059,986,0.3,1.3,Bruno G.,0
2,2002-01-30,1,81,True,True,None,None,2,0.5,7,439509,3,,0,0,-1,1,108.9,22,20,23,5.72,None,,0,3,3.2,3.2,2,0.56,0.14,0.75,0.19,0.19,2.81,0.7,0.05,Christos,3.2,95,40,4,0.99,0,False,20.1,50,37,557,False,51.4,154,55,,362,,None,64,44,30,p439509,0,0,None,0,,439509.jpg,3.2,127,53,False,-7817,None,-94.2,"[{'offset': 0, 'projected_percent': '-117.7', 'likelihood': -5}, {'offset': 1, 'projected_percent': '-202.3', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-286.8', 'likelihood': -5}]",12,0,83,False,0,0.0,,[],Tzolis,13.1,32,12,False,None,5,1.24,a,4,1,3,2026-07-23,40.0,100,55,16,452724,2357,1498463,35255,0.5,2.5,Tzolis,2
0,1991-03-10,0,1,True,True,0,0,0,0.0,2,72147,None,,0,0,0,0,0.0,455,34,0,0.0,None,,0,1,0.0,0.0,0,0.00,0.0,0.00,0.0,0.00,3.77,3.77,0.0,Marco,0.2,386,24,4,4.0,0,False,2.8,299,21,29,False,28.2,230,21,,90,Back injury - Expected back 10 Oct,2026-09-17T07:30:09.058151Z,45,430,24,p72147,0,0,None,0,,72147.jpg,1.0,313,24,False,-55,None,-21.8,"[{'offset': 0, 'projected_percent': '-28.3', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-51.8', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-75.3', 'likelihood': -3}]",6,0,152,False,3,3.0,https://www.avfc.co.uk/news/2026/september/18/prematch-team-news-for-spurs-showdown/,[],Bizot,0.1,389,44,False,None,1,1.0,i,0,2,7,2025-07-15,0.0,404,30,1,4608,14,6621,245,0.0,0.2,M.Bizot,0
