first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
Kai,Havertz,2,0,19,437,4,66.0,84.2,137.0,2,82,28.7,3,0,1,8.5,76,FWD,2.5
Gabriel,Fernando de Jesus,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,59,FWD,0.0
Ezri,Konsa Ngoyo,0,0,12,281,4,1.7,34.4,4.0,0,36,4.0,1,0,0,19.4,46,DEF,2.6
Bruno,Guimarães Rodriguez Moura,1,0,9,123,3,4.7,36.8,13.0,1,45,5.4,0,0,0,1.8,67,MID,1.3
Christos,Tzolis,0,2,16,362,4,108.9,51.4,40.0,1,81,20.1,2,0,2,13.1,64,MID,2.5
Marco,Bizot,0,0,1,90,4,0.0,28.2,0.0,0,1,2.8,0,0,0,0.1,45,GK,0.2
Lucas,Digne,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Matty,Cash,0,0,6,296,7,19.2,32.4,13.0,0,16,6.5,1,0,2,5.0,44,DEF,1.4
Tyrone,Mings,0,0,10,261,4,5.0,32.4,17.0,0,42,5.4,1,0,1,0.4,45,DEF,2.2
Pau,Torres,0,0,3,187,5,1.9,11.2,2.0,0,-4,1.5,0,0,0,0.3,45,DEF,0.7
Lamare,Bogarde,0,0,1,16,0,0.5,2.2,0.0,0,3,0.3,0,0,0,0.1,50,MID,0.2
Ian,Maatsen,0,0,9,335,7,24.5,34.8,43.0,1,22,10.2,1,0,1,0.5,45,DEF,2.0
Victor,Lindelöf,0,0,8,450,9,27.3,55.6,37.0,0,28,12.0,1,0,0,0.3,45,DEF,1.8
Andrés,García,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.6,40,DEF,0.0
Kosta,Nedeljkovic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Emiliano,Buendía Stati,1,0,21,401,8,44.2,5.0,24.0,3,70,6.4,1,0,0,0.9,59,MID,3.6
Leon,Bailey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,54,MID,0.0
John,McGinn,0,2,17,434,7,51.4,29.4,15.0,1,66,9.1,2,0,2,2.2,54,MID,3.1
Ross,Barkley,0,0,10,308,8,81.5,41.8,31.0,0,66,15.5,1,0,0,0.3,50,MID,2.0
Boubacar,Kamara,0,1,15,443,7,55.6,47.0,2.0,0,84,10.5,2,0,0,0.3,50,MID,3.0
Amadou,Onana,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Samuel,Iling-Junior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Bradley,Burrowes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,45,MID,0.0
George,Hemmings,0,0,9,297,7,40.9,25.2,25.0,0,34,9.1,1,0,0,1.2,45,MID,2.0
Alysson Edward Franco,da Rocha dos Santos,1,0,8,87,2,4.9,39.8,25.0,0,34,7.0,0,0,1,0.1,50,MID,1.6
Johan,Manzambi,1,1,14,98,1,4.0,2.6,0.0,2,48,0.7,1,0,0,0.2,59,MID,2.4
Joao,Gomes,0,0,2,129,6,11.0,1.0,0.0,0,11,1.2,0,1,0,0.0,55,MID,0.4
Ollie,Watkins,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.6,78,FWD,0.0
Tammy,Abraham,0,0,4,71,3,3.8,3.2,2.0,0,13,0.9,0,0,0,0.2,55,FWD,0.7
Alejandro,Garnacho Ferreyra,0,0,3,31,0,3.6,1.2,0.0,0,9,0.5,0,0,0,0.3,58,MID,0.5
Nicolas,Jackson,1,0,10,286,2,25.4,5.4,24.0,1,51,5.3,1,0,2,1.2,65,FWD,1.5
Brian,Madjo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,54,FWD,0.0
Matteo,Ruggeri,0,0,5,113,2,2.6,6.6,0.0,0,19,0.9,0,0,0,0.1,45,DEF,1.1
Zion,Suzuki,0,0,16,360,5,0.0,79.4,0.0,3,80,8.0,1,0,0,1.8,50,GK,3.2
Triston,Rowe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,DEF,0.0
Luka,Lynch,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Aaron,Wan-Bissaka,0,0,6,152,2,15.0,32.4,0.0,0,24,4.7,0,0,0,0.2,45,DEF,1.3
Leon,Goretzka,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,59,MID,0.0
Taylor,Harwood-Bellis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Ibrahim,Mbaye,0,0,2,33,3,15.2,9.0,19.0,0,8,4.3,0,0,0,0.1,60,MID,0.3
Đorđe,Petrović,0,0,7,360,7,0.0,74.0,0.0,0,33,7.4,0,0,0,3.0,45,GK,1.6
Fraser,Forster,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.5,40,GK,0.0
Will,Dennis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK,0.0
James,Hill,0,0,8,360,7,64.2,76.0,6.0,0,28,14.6,0,0,1,0.8,55,DEF,1.5
Adrien,Truffert,0,0,8,360,7,58.7,92.0,34.0,2,47,18.6,0,0,1,3.1,55,DEF,1.5
Bafodé,Diakité,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,50,DEF,0.0
Veljko,Milosavljevic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,DEF,0.0
Adam,Smith,0,0,2,360,7,43.6,43.6,4.0,0,11,9.1,0,0,3,0.1,45,DEF,0.4
Julián,Araujo Zúñiga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF,0.0
Julio,Soler Barreto,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,DEF,0.0
Rayan Vitor,Simplício Rocha,0,0,8,347,6,33.5,22.0,91.0,0,28,14.7,0,0,0,1.6,63,MID,1.3
Marcus,Tavernier,3,0,29,350,7,127.0,151.0,143.0,8,139,42.1,0,0,2,6.6,61,MID,4.8
Alex,Scott,1,2,28,356,6,105.9,94.6,43.0,5,112,24.3,1,0,1,5.8,61,MID,4.6
Justin,Kluivert,1,0,15,294,3,46.5,62.2,120.0,1,64,22.5,2,0,1,1.0,60,MID,2.5
Lewis,Cook,0,0,7,165,1,15.5,9.0,0.0,0,22,2.5,2,0,1,0.2,50,MID,1.4
Ben,Gannon-Doak,0,0,3,10,1,2.1,3.8,14.0,0,12,2.0,0,0,0,0.1,49,MID,0.6
Tyler,Adams,0,0,8,192,6,19.3,30.4,7.0,0,39,5.7,0,0,0,0.3,50,MID,1.6
David,Brooks,0,0,2,30,2,1.9,4.2,2.0,0,4,0.8,0,0,1,0.1,50,MID,0.4
Ryan,Christie,0,0,3,28,1,14.7,9.4,4.0,0,15,2.8,0,0,0,0.0,50,MID,0.6
Alex,Tóth,0,0,1,15,2,0.6,2.8,0.0,0,5,0.3,0,0,0,0.0,49,MID,0.2
Amine,Adli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Junior,Kroupi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,74,MID,0.0
Francisco Evanilson,de Lima Barbosa,0,3,16,334,4,79.2,60.4,49.0,0,54,18.8,2,0,1,3.3,60,FWD,2.7
Enes,Ünal,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,FWD,0.0
Álvaro,Rodríguez,0,0,2,10,1,0.5,0.0,0.0,0,7,0.1,0,0,0,0.1,60,FWD,0.3
António João,Pereira de Albuquerque Tavares da Silva,0,0,10,360,7,8.6,91.8,41.0,0,22,14.1,0,0,1,0.4,50,DEF,2.0
Juanlu,Sánchez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,DEF,0.0
Daniel,Jebbison,0,0,2,16,2,0.8,3.4,17.0,0,10,2.1,0,0,0,0.1,50,FWD,0.4
Michele,Di Gregorio,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,GK,0.0
Caoimhín,Kelleher,0,0,20,450,4,0.0,101.6,0.0,0,97,10.1,2,0,0,6.1,50,GK,4.0
Hákon Rafn,Valdimarsson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK,0.0
Nathan,Collins,0,0,10,196,1,22.4,40.6,51.0,0,39,11.4,1,0,1,1.0,54,DEF,1.9
Sepp,van den Berg,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,DEF,0.0
Keane,Lewis-Potter,1,1,22,406,4,94.2,94.6,49.0,3,85,23.7,2,0,0,1.8,55,MID,4.0
Kristoffer,Ajer,0,0,21,450,4,22.7,84.8,45.0,1,73,15.3,2,0,1,4.0,45,DEF,4.7
Michael,Kayode,1,0,23,294,1,31.9,61.2,56.0,1,72,14.9,2,0,0,7.7,46,DEF,5.0
Rico,Henry,0,0,1,2,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.2,44,DEF,0.2
Aaron,Hickey,0,0,5,152,3,7.5,21.6,6.0,0,17,3.5,0,0,0,0.1,45,DEF,1.1
Kim,Ji-soo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Jannik,Schuster,0,1,21,253,3,0.7,39.4,12.0,3,59,5.2,1,0,0,0.2,45,DEF,4.7
Kevin,Schade,3,2,39,447,4,44.5,134.8,129.0,6,138,30.8,2,0,0,8.3,61,MID,6.4
Dango,Ouattara,0,0,7,179,1,59.3,25.2,23.0,0,34,10.8,1,0,0,0.5,63,MID,1.1
Mikkel,Damsgaard,0,1,16,283,1,95.0,34.2,37.0,3,74,16.6,2,0,0,0.4,54,MID,3.0
Mathias,Jensen,0,1,6,66,0,46.2,12.6,13.0,0,22,7.2,1,0,0,0.1,54,MID,1.1
Vitaly,Janelt,2,0,28,450,4,91.7,146.0,45.0,3,109,28.3,2,0,3,2.5,50,MID,5.6
Antoni,Milambo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Fábio,Freitas Gouveia Carvalho,1,0,6,3,0,0.0,0.0,0.0,0,23,0.0,0,0,0,0.0,50,MID,1.2
Yehor,Yarmoliuk,0,1,9,216,4,39.5,29.6,13.0,0,50,8.3,1,0,1,0.7,48,MID,1.9
Josh,Dasilva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Jaidon,Anthony,1,0,15,267,3,78.3,28.4,21.0,2,59,12.7,2,0,1,0.1,59,MID,2.5
Igor Thiago,Nascimento Rodrigues,1,0,10,442,4,27.6,20.6,116.0,0,37,16.2,2,0,2,9.0,78,FWD,1.3
Kaye,Furo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,45,FWD,0.0
Callum,Wilson,0,0,3,13,0,10.4,3.2,12.0,0,9,2.6,0,0,0,0.3,54,FWD,0.6
Mamadou,Sangaré,0,2,22,321,3,57.8,74.2,40.0,3,76,16.9,1,0,2,10.8,56,MID,3.9
El Hadji Malick,Diouf,0,0,2,39,0,1.0,3.4,0.0,0,7,0.4,0,0,0,0.1,45,DEF,0.4
Gustavo,Nunes Fernandes Gomes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Benjamin,Fredrick,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Ellery,Balcombe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
Bart,Verbruggen,0,0,24,450,5,3.0,93.8,0.0,1,107,9.7,3,0,0,21.7,45,GK,5.3
Jason,Steele,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.2,40,GK,0.0
Ferdi,Kadıoğlu,0,0,13,332,5,44.6,21.8,27.0,0,48,9.4,2,0,1,1.6,44,DEF,3.0
Olivier,Boscagli,0,0,19,437,5,110.5,64.2,19.0,0,94,19.4,3,0,1,0.3,45,DEF,4.2
Maxim,De Cuyper,1,3,37,423,5,138.0,93.8,53.0,4,128,28.6,3,0,2,25.5,49,DEF,7.6
Lewis,Dunk,1,0,22,360,5,14.6,116.2,11.0,1,79,14.3,2,0,1,1.5,45,DEF,4.9
Diego,Coppola,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Igor Julio,dos Santos de Paulo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
João Pedro,Loureiro da Costa,0,0,4,68,0,17.0,15.2,18.0,0,18,5.0,0,0,1,0.0,45,DEF,0.9
Michael,Svoboda,0,0,1,4,0,0.0,0.0,0.0,0,5,0.0,0,0,0,0.1,50,DEF,0.2
Mitoma,Kaoru,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,59,MID,0.0
Yankuba,Minteh,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,59,MID,0.0
Jack,Hinshelwood,2,0,16,63,0,13.4,72.8,59.0,3,54,14.5,1,0,0,0.6,59,MID,2.7
Pascal,Groß,3,4,47,450,5,185.7,152.6,68.0,9,168,40.3,3,0,2,22.7,57,MID,8.2
Georginio,Rutter,0,1,6,104,0,11.4,19.8,15.0,0,26,4.6,1,0,0,0.5,54,FWD,1.1
Matt,O'Riley,0,0,2,10,0,10.5,2.2,0.0,0,6,1.3,0,0,0,0.1,54,MID,0.4
Diego,Gómez Amarilla,0,3,24,433,5,80.8,55.2,122.0,0,80,25.8,3,0,0,4.2,50,MID,4.8
Facundo,Buonanotte,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Yasin,Ayari,1,0,15,333,1,36.6,50.4,51.0,0,68,13.4,3,0,1,0.4,54,MID,2.8
Mats,Wieffer,0,0,7,156,4,35.5,37.0,10.0,1,38,8.3,1,0,0,0.2,49,DEF,1.4
Harry,Howell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Tom,Watson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Nehemiah,Oriola,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,MID,0.0
Zadok,Yohanna,0,0,1,12,0,1.3,0.2,0.0,0,3,0.2,0,0,0,0.0,49,MID,0.2
Stefanos,Tzimas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,FWD,0.0
Charalampos,Kostoulas,2,3,28,353,5,27.8,47.6,89.0,3,104,16.3,2,0,1,1.3,55,FWD,5.1
Evan,Ferguson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,FWD,0.0
Pascal,Struijk,0,0,7,98,0,0.9,11.4,0.0,0,31,1.2,1,0,1,0.2,49,DEF,1.4
Luka,Vušković,1,0,32,437,5,16.4,107.6,70.0,2,96,19.4,3,0,0,3.2,50,DEF,6.4
Promise,David,0,0,1,23,0,3.7,0.0,4.0,0,-4,0.4,0,0,1,0.2,59,FWD,0.2
Ibrahim,Osman,0,0,3,40,1,17.8,7.2,19.0,0,15,4.2,0,0,0,0.0,50,MID,0.6
Malick,Yalcouyé,2,0,20,236,4,60.0,107.0,105.0,1,93,27.2,1,0,0,4.1,45,MID,4.4
Jaouen,Hadjam,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Amario,Cozier-Duberry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
José María,Andrés Baixauli,1,1,13,109,0,13.1,18.8,2.0,1,37,3.4,1,0,0,0.0,55,MID,2.4
Femi,Azeez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,MID,0.0
Younes,Ibrahim,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Emiliano,Martínez Romero,0,0,9,360,10,20.0,119.0,0.0,0,61,13.9,0,0,0,4.8,50,GK,1.8
Morgan,Rogers,3,1,29,437,12,119.5,149.0,110.0,2,135,37.8,0,0,1,40.1,77,MID,3.8
Jordan,Henderson,0,0,2,90,3,0.0,0.0,0.0,0,16,0.0,0,0,0,0.0,49,MID,0.4
Danny,Welbeck,0,0,4,85,1,10.9,7.2,6.0,0,15,2.4,0,0,0,1.0,59,FWD,0.7
Robert,Lynch Sánchez,0,0,2,90,2,0.0,21.4,0.0,0,6,2.1,0,0,0,0.7,49,GK,0.4
Filip,Jörgensen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,GK,0.0
Reece,James,0,0,3,292,7,42.6,56.2,49.0,0,24,14.8,0,0,1,6.4,54,DEF,0.6
Trevoh,Chalobah,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,55,DEF,0.0
Malo,Gusto,0,0,4,272,7,37.2,32.0,13.0,0,12,8.2,0,0,0,1.0,50,DEF,0.8
Wesley,Fofana,0,0,8,312,7,28.4,77.6,4.0,0,35,11.0,0,0,1,0.2,50,DEF,1.6
Benoît,Badiashile Mukinayi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Jorrel,Hato,0,2,8,258,9,47.1,77.0,15.0,0,14,14.0,0,0,0,0.9,45,DEF,1.8
Levi,Samuels Colwill,0,0,3,341,9,14.2,46.0,11.0,0,17,7.2,0,0,1,0.9,48,DEF,0.6
Mamadou,Sarr,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Josh,Acheampong,0,0,5,221,7,4.1,41.6,6.0,0,5,5.1,0,0,0,0.4,45,DEF,1.1
Marco,Palestra,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,53,DEF,0.0
Cole,Palmer,2,2,28,442,12,120.0,131.6,124.0,3,148,37.6,0,0,1,26.9,97,MID,2.9
Pedro,Lomba Neto,1,0,14,332,8,84.8,72.4,83.0,0,81,24.0,0,0,0,1.4,65,MID,2.2
Estêvão,Almeida de Oliveira Gonçalves,0,0,4,23,1,1.3,8.4,38.0,0,17,4.9,0,0,0,0.7,63,MID,0.6
Jamie,Bynoe-Gittens,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,59,MID,0.0
Moisés,Caicedo Corozo,0,0,1,13,0,0.1,0.0,0.0,0,3,0.0,0,0,0,1.1,53,MID,0.2
Roméo,Lavia,1,0,11,258,8,29.1,65.8,66.0,0,61,16.1,0,0,1,0.2,50,MID,2.2
Dário,Luís Essugo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Geovany,Quenda,0,0,2,27,2,0.3,1.2,2.0,0,5,0.4,0,0,0,0.0,53,MID,0.4
João Pedro,Junqueira de Jesus,3,3,33,360,9,90.0,158.4,123.0,7,141,37.0,0,0,1,68.1,78,FWD,4.2
Marc,Guiu Paz,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,50,FWD,0.0
Shumaira,Mheuka,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,45,FWD,0.0
Emmanuel,Emegha,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,FWD,0.0
Maxence,Lacroix,0,1,13,364,10,12.6,86.8,10.0,0,28,10.9,0,0,1,6.9,59,DEF,2.2
Mike,Penders,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,GK,0.0
Aaron,Anselmino,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Valentín,Barco,0,0,3,115,3,2.9,1.6,6.0,0,29,0.9,0,0,1,0.1,54,MID,0.6
Pep,Chavarría,0,0,5,208,4,4.2,13.2,8.0,0,17,2.6,0,0,0,0.1,49,DEF,1.0
Mahdi,Nicoll-Jazuli,0,0,1,3,1,0.0,0.0,0.0,0,5,0.0,0,0,0,0.0,45,MID,0.2
Ethan,Pinnock,0,0,7,195,7,1.4,40.0,10.0,0,-6,5.2,0,0,1,0.1,45,DEF,1.6
Frank,Onyeka,0,0,7,227,7,2.9,10.2,21.0,0,27,3.4,0,0,0,0.1,49,MID,1.4
Carl,Rushworth,0,0,6,363,10,0.0,61.6,0.0,0,23,6.2,0,0,0,0.8,45,GK,1.3
Oliver,Dovin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,40,GK,0.0
Ben,Wilson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,44,GK,0.0
Bobby,Thomas,0,0,16,350,9,33.1,67.6,48.0,2,44,14.8,1,0,0,8.6,40,DEF,4.0
Liam,Kitching,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,DEF,0.0
Milan,van Ewijk,0,0,6,360,10,52.7,61.6,14.0,0,7,12.8,0,0,1,9.4,40,DEF,1.5
Jay,Dasilva,0,0,6,357,10,52.0,63.6,17.0,0,17,13.4,0,0,0,0.7,40,DEF,1.5
Kaine,Kesler-Hayden,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,39,DEF,0.0
Jake,Bidwell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Joel,Latibeaudiere,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Luke,Woolfenden,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Miguel,Brau,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Aurèle,Amenda,0,0,4,360,10,14.5,62.8,15.0,0,-3,9.4,0,0,1,0.7,40,DEF,1.0
Jack,Rudoni,0,0,9,227,4,115.5,37.6,79.0,0,37,23.2,1,0,0,0.1,49,MID,1.8
Matt,Grimes,0,0,9,356,9,32.7,51.8,5.0,0,48,8.9,0,0,0,0.1,49,MID,1.8
Tatsuhiro,Sakamoto,0,0,1,31,1,5.9,6.2,7.0,0,8,1.9,0,0,0,0.1,48,MID,0.2
Ephron,Mason-Clark,0,0,5,189,3,17.8,10.2,46.0,0,16,7.2,0,0,0,0.1,54,MID,0.9
Josh,Eccles,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Victor,Torp,0,0,3,53,2,20.4,7.2,0.0,0,13,2.7,0,0,0,0.1,53,MID,0.6
George,Shepherd,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,44,MID,0.0
Loum,Tchaouna,0,0,4,166,3,49.3,17.0,29.0,0,27,9.6,0,0,0,0.1,54,MID,0.7
Raphael,Borges Rodrigues,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Kai,Andrews,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,MID,0.0
Haji,Wright,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,54,FWD,0.0
Brandon,Thomas-Asante,0,0,6,140,6,3.9,14.0,30.0,0,30,4.9,0,0,0,0.7,50,FWD,1.2
Ellis,Simms,0,0,3,88,3,22.3,7.6,37.0,0,10,6.7,0,0,0,0.7,50,FWD,0.6
Jahnoah,Markelo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,FWD,0.0
Norman,Bassette,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD,0.0
Taiwo,Awoniyi,0,0,3,232,7,46.2,13.6,78.0,0,11,13.6,0,1,0,0.4,54,FWD,0.6
Caleb,Yirenkyi,0,0,7,178,5,29.9,10.4,7.0,0,29,4.3,1,0,1,0.1,49,MID,1.4
Gustavo,Hamer,0,0,3,32,1,1.8,0.6,0.0,0,6,0.3,0,0,0,0.1,54,MID,0.6
