id,xP
644,2.0
647,0.3
21,0.0
209,1.8
226,5.0
227,0.0
228,0.0
229,8.6
230,5.4
231,0.0
232,0.4
233,5.4
234,0.0
235,0.0
236,4.0
238,1.2
239,2.2
242,3.8
243,0.2
244,2.4
245,0.2
246,0.0
247,2.0
248,0.0
249,4.0
649,7.0
654,0.0
250,3.0
251,0.0
252,0.0
253,0.4
254,2.0
255,0.6
256,0.0
257,1.8
258,3.8
261,1.8
262,0.6
263,0.6
264,2.0
265,1.6
266,0.0
268,4.4
269,0.4
270,0.0
271,0.6
272,0.0
569,2.4
570,2.2
580,1.8
610,0.0
626,0.0
635,0.7
636,0.0
650,2.7
240,0.4
273,0.0
274,0.0
275,0.0
276,0.0
277,5.2
278,0.0
279,5.4
280,2.8
281,0.0
282,4.8
283,0.0
284,0.0
285,0.2
286,6.2
287,0.0
288,0.0
289,0.6
290,3.0
291,0.0
292,0.0
293,0.0
294,0.0
295,2.8
296,0.0
297,0.0
298,0.0
299,0.0
340,0.2
556,0.2
563,0.0
572,6.8
574,0.2
576,1.4
585,1.0
586,0.0
589,0.8
617,2.2
632,0.0
637,0.7
638,0.3
642,1.3
645,0.0
259,2.4
267,2.2
300,0.4
301,0.0
302,0.0
303,0.0
304,2.0
305,5.0
306,0.6
307,0.0
308,0.2
309,1.2
310,0.0
311,0.0
312,0.0
313,2.2
314,0.0
315,1.6
316,5.2
317,0.0
318,0.4
319,0.0
320,1.4
321,0.2
322,0.0
323,0.6
324,0.0
554,0.0
562,1.6
564,1.4
571,0.4
591,3.0
592,1.2
602,0.0
619,2.8
640,2.0
260,0.0
326,0.0
327,2.4
329,0.0
330,7.4
331,1.6
332,3.6
333,0.0
334,4.2
335,4.4
336,3.0
337,1.2
338,3.2
339,0.4
341,0.0
342,0.0
343,0.4
344,0.0
345,2.4
346,4.0
347,1.2
348,0.0
349,0.0
385,3.6
598,1.4
603,0.0
604,0.0
625,0.0
629,0.0
641,0.3
648,0.0
350,3.8
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,3.4
357,0.4
358,1.4
359,0.0
360,0.0
361,0.0
362,3.6
363,0.0
364,0.4
365,0.0
366,2.4
367,5.8
368,3.6
369,0.8
370,0.0
371,1.6
372,1.2
373,0.0
374,0.0
375,0.4
376,0.0
377,2.8
378,0.0
379,5.0
380,0.0
381,0.4
382,0.0
383,0.0
579,3.0
627,1.3
155,1.2
237,3.4
384,3.4
386,0.0
387,1.0
388,5.2
389,2.0
390,3.2
391,6.6
392,0.0
393,1.8
394,0.0
395,0.2
396,0.2
397,3.2
398,0.0
399,5.2
400,0.0
402,0.0
404,0.0
406,0.4
407,0.0
408,0.0
409,0.0
410,0.0
411,6.6
481,2.6
587,0.0
616,0.5
621,0.5
622,0.2
628,0.0
653,0.0
43,2.0
131,0.0
162,0.8
325,0.0
412,1.4
413,0.0
414,0.0
415,1.2
416,0.0
417,1.2
418,1.6
419,1.2
420,0.4
421,0.2
422,0.6
423,0.7
424,0.0
425,0.0
426,5.8
427,4.6
428,3.2
429,1.6
430,0.0
431,0.0
432,3.6
433,0.0
434,0.0
435,0.2
436,0.0
437,0.0
438,0.0
439,1.6
440,0.2
441,0.0
405,0.0
442,0.0
443,0.0
444,0.0
445,2.8
446,0.4
447,3.0
448,0.0
449,6.0
450,0.8
451,0.0
453,5.6
454,0.0
456,0.0
457,0.6
458,0.0
459,2.4
460,4.4
461,1.6
462,1.6
463,0.0
464,3.0
465,0.0
466,0.0
559,0.6
567,2.8
593,0.0
609,0.0
634,1.3
659,0.0
167,1.6
201,0.6
467,2.4
468,0.0
469,3.4
470,0.0
471,0.0
472,3.8
473,1.6
474,1.5
475,0.0
476,0.0
477,0.0
478,0.4
479,0.0
480,5.2
482,0.2
483,2.8
484,0.0
485,0.0
486,2.0
487,0.2
488,0.6
489,0.0
490,0.6
491,2.2
493,0.2
558,2.2
581,1.0
590,0.0
112,4.8
147,0.2
401,1.6
403,1.6
455,2.8
494,0.0
495,0.0
496,3.6
497,0.0
498,0.6
499,1.8
500,0.0
502,3.4
503,3.2
505,0.0
506,1.4
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,1.4
513,0.0
514,1.6
515,0.6
516,3.0
517,0.0
518,0.0
519,1.8
520,0.6
521,0.0
522,1.8
523,0.0
524,0.0
525,1.4
526,1.4
527,0.0
528,0.0
578,0.0
601,0.0
501,0.6
529,2.2
530,0.0
531,0.0
532,2.4
533,2.6
534,1.8
535,0.2
536,0.0
537,0.0
538,0.0
539,0.2
540,0.0
541,2.2
542,2.6
543,0.0
544,3.8
545,1.6
546,0.0
547,0.0
548,0.4
549,0.2
550,0.0
551,2.4
552,1.4
553,2.8
612,0.0
613,0.0
646,0.7
651,0.0
