name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,3.2,0,0,4,0,4,5.1,7,79,0.01,0.14,0.13,0.71,27,2,0,2.9,3.2,2026-09-05T11:30:00Z,90,False,17,0,0,0,3,0,3,0,336364,1,0,2,2,21.0,2,26119,69571,43452,60,False,0
Martin Dubravka,GK,Spurs,0.0,0,0,0,0,0,0.0,0,497,0.00,0.00,0.00,0.00,28,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,18,0,0,0,0,0,3,0,1908726,0,0,0,0,0.0,0,12181,131012,118831,40,False,0
Matz Sels,GK,Nott'm Forest,2.4,0,0,21,1,1,0.0,0,467,0.00,0.00,0.00,1.06,28,0,0,0.2,2.4,2026-09-05T14:00:00Z,90,False,19,0,0,0,11,0,3,0,143042,1,0,0,0,0.0,6,-9819,8404,18223,50,True,0
Daichi Kamada,MID,Crystal Palace,3.6,1,0,21,0,0,23.2,4,214,0.01,0.01,0.00,3.01,24,2,0,4.9,19.6,2026-09-05T14:00:00Z,88,False,10,0,0,0,4,0,3,0,28293,1,0,3,2,6.0,5,-259,4293,4552,50,False,0
Sepp van den Berg,DEF,Brentford,0.0,0,0,0,0,0,0.0,0,85,0.00,0.00,0.00,0.00,22,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,20,0,0,0,0,0,3,0,8510,0,0,1,1,0.0,0,-2342,121,2463,49,True,0
Michael Svoboda,DEF,Brighton,0.2,0,0,0,0,0,0.0,0,120,0.00,0.00,0.00,0.00,23,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,13,0,0,0,0,0,3,0,5613,0,0,1,1,0.0,0,-124,863,987,50,True,0
Nicolás Domínguez,MID,Nott'm Forest,0.2,0,0,0,0,0,0.0,0,487,0.00,0.00,0.00,0.00,28,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,19,0,0,0,0,0,3,0,7052,0,0,0,0,0.0,0,-788,358,1146,50,True,0
Micky van de Ven,DEF,Spurs,3.2,0,3,30,1,6,1.2,9,503,0.00,0.57,0.57,0.92,28,0,0,3.7,21.4,2026-09-05T14:00:00Z,90,False,18,0,0,0,4,0,3,0,380320,1,3,0,0,14.0,9,-61459,16557,78016,50,False,0
Keane Lewis-Potter,MID,Brentford,4.4,0,0,4,0,4,45.1,6,86,0.40,0.64,0.24,1.71,22,1,0,7.5,8.2,2026-09-05T14:00:00Z,90,False,20,0,0,0,1,0,3,0,235201,1,1,1,1,22.0,2,74882,101209,26327,55,True,0
Alex Scott,MID,Bournemouth,5.6,2,2,37,0,5,22.9,11,69,0.02,0.09,0.07,0.71,27,2,0,4.8,13.4,2026-09-05T11:30:00Z,90,False,17,0,0,0,6,0,3,0,210299,1,0,2,2,12.0,10,39114,56885,17771,60,False,0
Morgan Gibbs-White,MID,Nott'm Forest,5.2,0,0,3,1,0,3.0,7,480,0.01,0.49,0.48,1.06,28,0,0,2.2,5.6,2026-09-05T14:00:00Z,90,False,19,0,0,0,5,0,3,0,1065969,1,2,0,0,13.0,3,102526,215196,112670,79,True,0
Matt Targett,DEF,Hull City,0.2,0,0,0,0,0,0.0,0,556,0.00,0.00,0.00,0.00,25,0,0,0.0,0.0,2026-09-05T16:30:00Z,0,False,2,0,0,0,0,0,3,0,218007,0,0,0,0,0.0,0,-12694,10419,23113,40,True,0
Anthony Elanga,MID,Newcastle,0.0,0,0,8,0,1,31.8,4,454,0.23,0.23,0.00,1.33,27,2,0,4.4,8.4,2026-09-05T11:30:00Z,76,False,3,0,0,0,1,0,3,0,1142637,1,2,2,2,4.0,1,716203,810672,94469,61,True,1
Josh King,MID,Fulham,4.4,0,3,38,0,1,26.0,7,268,0.27,0.58,0.31,1.97,24,3,1,10.5,44.6,2026-09-05T14:00:00Z,90,False,8,0,0,0,5,0,3,0,76528,1,1,3,2,34.0,10,9662,23134,13472,55,True,0
Ben Gannon-Doak,MID,Bournemouth,0.6,0,0,3,0,0,0.5,2,72,0.00,0.02,0.02,0.05,27,0,0,0.8,2.0,2026-09-05T11:30:00Z,1,False,17,0,0,0,1,0,3,0,7170,0,1,2,2,5.0,1,-1165,384,1549,50,False,0
Daniel Muñoz Mejía,DEF,Nott'm Forest,0.6,0,0,5,0,0,0.8,1,201,0.00,0.03,0.03,0.26,28,0,0,0.7,2.4,2026-09-05T14:00:00Z,31,False,19,0,0,0,0,0,3,0,658550,0,1,0,0,4.0,1,-158458,23260,181718,54,True,0
Jacob Murphy,MID,Newcastle,0.6,0,0,5,0,0,0.3,1,457,0.00,0.00,0.00,0.04,27,0,0,0.1,0.2,2026-09-05T11:30:00Z,13,False,3,0,0,0,1,0,3,0,14114,0,0,2,2,0.0,1,-2357,1115,3472,59,True,0
Enes Ünal,FWD,Bournemouth,0.0,0,0,0,0,0,0.0,0,80,0.00,0.00,0.00,0.00,27,0,0,0.0,0.0,2026-09-05T11:30:00Z,0,False,17,0,0,0,0,0,3,0,1977,0,0,2,2,0.0,0,-522,0,522,55,False,0
Alysson Edward Franco da Rocha dos Santos,MID,Aston Villa,1.6,0,0,3,0,0,1.8,1,52,0.00,0.00,0.00,0.35,25,0,0,0.2,0.2,2026-09-05T16:30:00Z,15,False,11,0,0,0,1,0,3,0,4733,0,0,0,0,0.0,1,-102,827,929,50,False,0
Zavier Gozo,MID,Crystal Palace,0.4,0,0,0,0,0,0.0,0,595,0.00,0.00,0.00,0.00,24,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,10,0,0,0,0,0,3,0,1444,0,0,3,2,0.0,0,-66,158,224,50,False,0
Freddie Woodman,GK,Liverpool,0.0,0,0,0,0,0,0.0,0,352,0.00,0.00,0.00,0.00,21,0,0,0.0,0.0,2026-09-04T19:00:00Z,0,False,12,0,0,0,0,0,3,0,114962,0,0,2,0,0.0,0,280,8227,7947,40,False,0
Tyler Adams,MID,Bournemouth,1.6,0,0,15,0,1,11.5,12,73,0.01,0.01,0.00,0.48,27,1,0,2.4,12.2,2026-09-05T11:30:00Z,75,False,17,0,0,0,8,0,3,0,26019,1,3,2,2,0.0,4,897,5588,4691,50,False,0
Kristoffer Ajer,DEF,Brentford,4.2,0,0,8,0,5,0.3,5,87,0.00,0.00,0.00,1.71,22,1,0,1.2,11.8,2026-09-05T14:00:00Z,90,False,20,0,0,0,2,0,3,0,610187,1,0,1,1,0.0,2,112523,174453,61930,45,True,0
Ewen Jaouen,GK,Newcastle,0.0,0,0,0,0,0,0.0,0,444,0.00,0.00,0.00,0.00,27,0,0,0.0,0.0,2026-09-05T11:30:00Z,0,False,3,0,0,0,0,0,3,0,2647,0,0,2,2,0.0,0,-279,182,461,45,True,0
Charlie Hughes,DEF,Hull City,0.0,0,0,0,0,0,0.0,0,278,0.00,0.00,0.00,0.00,25,0,0,0.0,0.0,2026-09-05T16:30:00Z,0,False,2,0,0,0,0,0,3,0,9038,0,0,0,0,0.0,0,-1682,138,1820,40,True,0
Nilson Angulo,MID,Sunderland,2.4,0,0,11,0,1,5.7,5,551,0.07,0.07,0.00,0.76,22,1,0,3.0,8.6,2026-09-05T14:00:00Z,63,False,4,0,0,0,3,0,3,0,15646,1,1,1,1,16.0,2,1656,4768,3112,50,False,0
Matteo Ruggeri,DEF,Aston Villa,1.0,0,0,3,0,1,2.6,1,596,0.01,0.01,0.00,0.35,25,0,0,0.5,2.6,2026-09-05T16:30:00Z,15,False,11,0,0,0,2,0,3,0,10240,0,0,0,0,0.0,1,-990,736,1726,45,False,0
Trevoh Chalobah,DEF,Chelsea,0.0,0,0,0,0,0,0.0,0,143,0.00,0.00,0.00,0.00,29,0,0,0.0,0.0,2026-09-06T15:30:00Z,0,False,1,0,0,0,0,0,3,0,9527,0,0,1,2,0.0,0,-3529,0,3529,55,False,0
Malick Thiaw,DEF,Newcastle,2.8,0,0,0,0,3,12.3,3,445,0.05,0.05,0.00,1.37,27,2,0,2.2,7.6,2026-09-05T11:30:00Z,90,False,3,1,0,0,3,0,3,0,238054,1,0,2,2,2.0,-1,40274,72237,31963,50,True,0
Amar Dedic,DEF,Newcastle,0.0,0,0,3,0,1,6.4,1,593,0.02,0.13,0.11,1.37,27,2,0,1.7,0.6,2026-09-05T11:30:00Z,90,False,3,0,0,0,4,0,3,0,365061,1,0,2,2,10.0,1,269442,318645,49203,45,True,0
Lewie Coyle,DEF,Hull City,2.8,0,0,19,1,0,4.6,0,280,0.01,0.01,0.00,1.81,25,0,0,0.6,1.4,2026-09-05T16:30:00Z,63,False,2,0,0,0,0,0,3,0,54378,1,0,0,0,0.0,6,-8654,1532,10186,40,True,0
Illan Meslier,GK,Arsenal,0.0,0,0,0,0,0,0.0,0,3,0.00,0.00,0.00,0.00,29,0,0,0.0,0.0,2026-09-06T15:30:00Z,0,False,6,0,0,0,0,0,3,0,3143,0,0,1,2,0.0,0,-287,172,459,50,True,0
James Maddison,MID,Spurs,0.6,0,0,0,0,0,0.0,0,515,0.00,0.00,0.00,0.00,28,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,18,0,0,0,0,0,3,0,57231,0,0,0,0,0.0,0,-38883,175,39058,64,False,0
Joško Gvardiol,DEF,Man City,6.6,0,2,31,1,4,6.9,8,391,0.02,0.03,0.01,1.37,26,0,0,3.3,18.8,2026-09-05T14:00:00Z,90,False,7,0,0,0,7,0,3,0,2019409,1,4,0,1,7.0,8,427408,548352,120944,56,True,0
Rayan Cherki,MID,Man City,5.2,0,0,23,1,0,52.2,3,399,0.30,0.51,0.21,0.86,26,0,0,8.4,7.4,2026-09-05T14:00:00Z,65,False,7,0,0,0,3,0,3,0,3431400,1,0,0,1,24.0,3,1783948,1865890,81942,77,True,0
Jake O'Brien,DEF,Everton,0.4,0,0,0,0,0,0.0,0,232,0.00,0.00,0.00,0.00,30,0,0,0.0,0.0,2026-09-06T13:00:00Z,0,False,16,0,0,0,0,0,3,0,35192,0,0,2,2,0.0,0,-7511,929,8440,49,True,0
Jordan Pickford,GK,Everton,5.0,0,0,6,0,0,0.0,0,226,0.00,0.00,0.00,0.69,30,2,0,0.9,9.2,2026-09-06T13:00:00Z,90,False,16,0,0,0,12,0,3,1,890933,1,0,2,2,0.0,1,-25446,56478,81924,55,True,0
Bradley Burrowes,MID,Aston Villa,0.0,0,0,0,0,0,0.0,0,50,0.00,0.00,0.00,0.00,25,0,0,0.0,0.0,2026-09-05T16:30:00Z,0,False,11,0,0,0,0,0,3,0,72806,0,0,0,0,0.0,0,-408,8705,9113,45,False,0
