id,xP
643,2.7
644,3.0
647,0.3
21,0.0
209,1.8
226,5.0
227,0.0
228,0.0
229,8.6
230,5.4
231,0.0
232,0.4
233,5.4
234,0.0
235,0.0
236,4.0
238,1.2
239,2.2
242,3.8
243,0.2
244,2.4
245,0.2
246,0.0
247,2.0
248,0.0
249,4.0
649,7.0
654,0.0
250,3.6
251,0.0
252,0.0
253,0.6
254,2.4
255,0.6
256,0.0
257,3.0
258,4.0
261,2.8
262,0.6
263,0.8
264,2.6
265,2.2
266,0.0
268,4.8
269,0.4
270,0.0
271,0.6
272,0.0
569,2.8
570,2.4
580,2.6
610,0.0
626,0.0
635,1.0
636,0.0
650,4.0
240,0.4
273,0.0
274,0.0
275,0.0
276,0.0
277,5.2
278,0.0
279,5.4
280,2.8
281,0.0
282,4.8
283,0.0
284,0.0
285,0.2
286,6.2
287,0.0
288,0.0
289,0.6
290,3.0
291,0.0
292,0.0
293,0.0
294,0.0
295,2.6
296,0.0
297,0.0
298,0.0
299,0.0
340,0.2
556,0.2
563,0.0
572,6.8
574,0.2
576,1.4
585,1.0
586,0.0
589,0.8
617,2.2
632,0.0
637,0.7
638,0.3
642,1.3
645,0.0
259,2.4
267,2.2
300,0.4
301,0.0
302,0.0
303,0.0
304,2.0
305,5.0
306,0.6
307,0.0
308,0.2
309,1.2
310,0.0
311,0.0
312,0.0
313,2.2
314,0.0
315,1.6
316,5.2
317,0.0
318,0.4
319,0.0
320,1.4
321,0.2
322,0.0
323,0.6
324,0.0
554,0.0
562,1.6
564,1.4
571,0.4
591,3.0
592,1.2
602,0.0
619,2.8
640,2.0
260,0.0
326,0.0
327,2.4
329,0.0
330,8.4
331,2.8
332,5.2
333,0.0
334,5.4
335,5.4
336,3.6
337,1.4
338,4.2
339,0.4
341,0.0
342,0.0
343,0.6
344,0.0
345,2.8
346,4.4
347,1.4
348,0.0
349,0.0
385,5.6
598,2.6
603,0.0
604,0.0
625,0.0
629,0.0
641,0.3
648,0.3
350,5.4
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,5.0
357,0.4
358,2.6
359,0.0
360,0.0
361,0.0
362,4.8
363,0.0
364,0.4
365,0.0
366,3.6
367,6.4
368,4.0
369,0.8
370,0.0
371,1.8
372,2.2
373,0.0
374,0.0
375,0.6
376,0.0
377,3.0
378,0.0
379,6.6
380,0.0
381,0.6
382,0.0
383,0.0
579,4.4
627,2.3
155,2.6
237,4.4
384,3.8
386,0.0
387,1.2
388,6.0
389,2.2
390,3.4
391,7.4
392,0.0
393,1.8
394,0.0
395,0.2
396,0.2
397,6.6
398,0.0
399,6.8
400,0.2
402,0.0
404,0.0
406,0.4
407,0.0
408,0.0
409,0.0
410,0.0
411,7.8
481,3.0
587,0.0
616,0.5
621,0.5
622,0.2
628,0.0
653,0.0
43,2.8
131,0.0
162,0.8
325,0.0
412,2.2
413,0.0
414,0.0
415,2.0
416,0.0
417,1.6
418,2.0
419,1.2
420,0.4
421,0.2
422,0.6
423,0.9
424,0.0
425,0.0
426,6.2
427,5.0
428,5.2
429,2.0
430,0.2
431,0.0
432,4.4
433,0.0
434,0.0
435,0.2
436,0.0
437,0.0
438,0.0
439,1.6
440,0.4
441,0.0
405,0.0
442,0.0
443,0.0
444,0.0
445,2.8
446,0.4
447,3.0
448,0.0
449,6.2
450,0.8
451,0.0
453,5.6
454,0.0
456,0.0
457,0.6
458,0.0
459,2.4
460,4.4
461,1.6
462,1.6
463,0.0
464,3.0
465,0.0
466,0.0
559,0.6
567,2.8
593,0.0
609,0.0
634,1.3
659,0.0
663,1.1
664,1.0
665,1.1
666,1.1
167,1.8
201,1.0
467,2.8
468,0.0
469,3.8
470,0.0
471,0.0
472,4.6
473,1.6
474,1.7
475,0.0
476,0.0
477,0.0
478,0.6
479,0.0
480,5.6
482,0.2
483,3.0
484,0.0
485,0.0
486,2.4
487,0.2
488,0.8
489,0.0
490,0.8
491,2.4
493,0.2
558,2.6
581,1.4
590,0.0
112,4.8
147,0.2
401,1.6
403,1.6
455,2.8
494,0.0
495,0.0
496,3.6
497,0.0
498,0.6
499,1.8
500,0.0
502,3.4
503,3.2
505,0.0
506,1.4
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,1.4
513,0.0
514,1.6
515,0.6
516,3.0
517,0.0
518,0.0
519,1.8
520,0.6
521,0.0
522,1.8
523,0.0
524,0.0
525,1.4
526,1.4
527,0.0
528,0.0
578,0.0
601,0.0
501,0.6
529,2.2
530,0.0
531,0.0
532,2.8
533,2.6
534,2.0
535,0.2
536,0.0
537,0.0
538,0.0
539,0.2
540,0.0
541,2.8
542,3.6
543,0.0
544,4.2
545,2.0
546,0.0
547,0.0
548,0.4
549,0.2
550,0.0
551,3.2
552,4.8
553,3.0
612,-0.2
613,0.0
646,1.0
651,0.0
